node_idx,node_id,in_katz,out_katz,系统匹配企业名称,统一社会信用代码,node_origin,credit_code,norm_name,注册资本,所属省份,所属城市,国标行业大类,企业机构类型大类,match_source
1707,corp:91230100128025258G,0.00774386531147173,0.005308282430004427,哈尔滨哈投投资股份有限公司,91230100128025258G,node,91230100128025258G,哈尔滨哈投投资股份有限公司,208057.052万人民币,黑龙江省,哈尔滨市,电力、热力生产和供应业,国有企业,node_primary+registry_code
1947,corp:91230500752363859P,0.007731097459655385,0.005192452335612791,黑龙江建龙钢铁有限公司,91230500752363859P,node,91230500752363859P,黑龙江建龙钢铁有限公司,160000万人民币,黑龙江省,双鸭山市,黑色金属冶炼和压延加工业,民营企业,node_primary+registry_code
1376,corp:91220101702500368M,0.007723707729118257,0.005258299769262007,一汽模具制造有限公司,91220101702500368M,node,91220101702500368M,一汽模具制造有限公司,46533.177万人民币,吉林省,长春市,专用设备制造业,其他企业,node_primary+registry_code
2089,corp:912307001295406144,0.0077120051946730755,0.005375776999508332,建龙西林钢铁有限公司,912307001295406144,node,912307001295406144,建龙西林钢铁有限公司,350000万人民币,黑龙江省,伊春市,金属制品业,民营企业,node_primary+registry_code
1832,corp:912301991276005724,0.007696478519109125,0.0051933726097332595,哈尔滨博实自动化股份有限公司,912301991276005724,node,912301991276005724,哈尔滨博实自动化股份有限公司,102255万人民币,黑龙江省,哈尔滨市,通用设备制造业,民营企业,node_primary+registry_code
1699,corp:91230100127041256N,0.0076910109481428445,0.0051481188585485674,中国航发哈尔滨东安发动机有限公司,91230100127041256N,node,91230100127041256N,中国航发哈尔滨东安发动机有限公司,156459万人民币,黑龙江省,哈尔滨市,铁路、船舶、航空航天和其他运输设备制造业,其他企业,node_primary+registry_code
1094,corp:91211100122433701L,0.007682686416323414,0.0051704777584719395,盘锦北方沥青股份有限公司,91211100122433701L,node,91211100122433701L,盘锦北方沥青股份有限公司,80981.61万人民币,辽宁省,盘锦市,石油、煤炭及其他燃料加工业,其他企业,node_primary+registry_code
11686,name:哈尔滨哈飞航空工业有限责任公司,0.007680512108251811,0.005147203039231976,哈尔滨哈飞航空工业有限责任公司,,fringe,,哈尔滨哈飞航空工业有限责任公司,157132.52万人民币,黑龙江省,哈尔滨市,铁路、船舶、航空航天和其他运输设备制造业,有限责任公司（非自然人投资或控股的法人独资）,registry_name
1725,corp:91230100769221128J,0.007677698746109038,0.005264276150900132,黑龙江龙煤矿业集团股份有限公司,91230100769221128J,node,91230100769221128J,黑龙江龙煤矿业集团股份有限公司,832633.1917万人民币,黑龙江省,哈尔滨市,煤炭开采和洗选业,其他企业,node_primary+registry_code
1345,corp:912201011239954900,0.007676939403377393,0.0057107683199423475,国网吉林省电力有限公司,912201011239954900,node,912201011239954900,国网吉林省电力有限公司,2161696万人民币,吉林省,长春市,电力、热力生产和供应业,民营企业,node_primary+registry_code
379,corp:91210200604867131X,0.007672008231337466,0.005193673354392489,大连中远海运重工有限公司,91210200604867131X,node,91210200604867131X,大连中远海运重工有限公司,513438.787243万人民币,辽宁省,大连市,铁路、船舶、航空航天和其他运输设备制造业,民营企业,node_primary+registry_code
412,corp:912102007824602894,0.007664749327256661,0.0051959561828821554,大连船舶重工集团有限公司,912102007824602894,node,912102007824602894,大连船舶重工集团有限公司,1599617.0752万人民币,辽宁省,大连市,铁路、船舶、航空航天和其他运输设备制造业,民营企业,node_primary+registry_code
666,corp:9121030074077858XW,0.007664559185930073,0.005240786218669406,鞍山冀东水泥有限责任公司,9121030074077858XW,node,9121030074077858XW,鞍山冀东水泥有限责任公司,30000万人民币,辽宁省,鞍山市,非金属矿物制品业,国有企业,node_primary+registry_code
811,corp:91210500736737267W,0.007663863666278737,0.005266392318021372,本溪北营钢铁（集团）股份有限公司,91210500736737267W,node,91210500736737267W,本溪北营钢铁(集团)股份有限公司,600000万人民币,辽宁省,本溪市,黑色金属冶炼和压延加工业,国有企业,node_primary+registry_code
23,corp:91210000744327380Q,0.007663849449508149,0.005261486061556087,华晨汽车集团控股有限公司,91210000744327380Q,node,91210000744327380Q,华晨汽车集团控股有限公司,80000万人民币,辽宁省,沈阳市,商务服务业,民营企业,node_primary+registry_code
1267,corp:91211400552585967K,0.007655870809187167,0.005217169148446241,中国船舶集团渤海造船有限公司,91211400552585967K,node,91211400552585967K,中国船舶集团渤海造船有限公司,282283.515951万人民币,辽宁省,葫芦岛市,铁路、船舶、航空航天和其他运输设备制造业,民营企业,node_primary+registry_code
1389,corp:91220101743028725R,0.007639228210451183,0.005372422806445685,一汽解放汽车有限公司,91220101743028725R,node,91220101743028725R,一汽解放汽车有限公司,1080301.25万人民币,吉林省,长春市,汽车制造业,民营企业,node_primary+registry_code
17,corp:91210000701796881N,0.007638451584478503,0.005512031614926687,国网辽宁省电力有限公司,91210000701796881N,node,91210000701796881N,国网辽宁省电力有限公司,4036263.031275万人民币,辽宁省,沈阳市,电力、热力生产和供应业,民营企业,node_primary+registry_code
1691,corp:912300001269709935,0.0076373456174663465,0.005559853434611604,国网黑龙江省电力有限公司,912300001269709935,node,912300001269709935,国网黑龙江省电力有限公司,3010032.324979万人民币,黑龙江省,哈尔滨市,电力、热力生产和供应业,民营企业,node_primary+registry_code
1377,corp:9122010171530004X3,0.007634483564728614,0.005259528765085794,一汽铸造有限公司,9122010171530004X3,node,9122010171530004X3,一汽铸造有限公司,345464.325446万人民币,吉林省,长春市,汽车制造业,民营企业,node_primary+registry_code
691,corp:91210300MA0XQD3N15,0.0076301298268817595,0.00550173228656824,鞍钢绿色资源科技有限公司,91210300MA0XQD3N15,node,91210300MA0XQD3N15,鞍钢绿色资源科技有限公司,67416万人民币,辽宁省,鞍山市,专用设备制造业,民营企业,node_primary+registry_code
1717,corp:9123010071201745XG,0.007619605880156934,0.005239447605606593,哈尔滨东安汽车动力股份有限公司,9123010071201745XG,node,9123010071201745XG,哈尔滨东安汽车动力股份有限公司,46647.6161万人民币,黑龙江省,哈尔滨市,汽车制造业,其他企业,node_primary+registry_code
1701,corp:91230100127046743W,0.007616526580538365,0.005193839073919693,哈尔滨空调股份有限公司,91230100127046743W,node,91230100127046743W,哈尔滨空调股份有限公司,38334.0672万人民币,黑龙江省,哈尔滨市,通用设备制造业,国有企业,node_primary+registry_code
38,corp:91210100117861090N,0.007613784187836173,0.005170855551315854,中国航发沈阳黎明航空发动机有限责任公司,91210100117861090N,node,91210100117861090N,中国航发沈阳黎明航空发动机有限责任公司,797345.3184万人民币,辽宁省,沈阳市,铁路、船舶、航空航天和其他运输设备制造业,民营企业,node_primary+registry_code
440,corp:91210212071589422B,0.007603809099469351,0.005124327260574477,中石化催化剂大连有限公司,91210212071589422B,node,91210212071589422B,中石化催化剂大连有限公司,30000万人民币,辽宁省,大连市,化学原料和化学制品制造业,民营企业,node_primary+registry_code
325,corp:91210123774809655P,0.007598472370175774,0.005243198511802327,国能康平发电有限公司,91210123774809655P,node,91210123774809655P,国能康平发电有限公司,236860.83万人民币,辽宁省,沈阳市,电力、热力生产和供应业,民营企业,node_primary+registry_code
345,corp:912102001183735667,0.007596471543886568,0.00514722599691492,国电电力发展股份有限公司,912102001183735667,node,912102001183735667,国电电力发展股份有限公司,1783561.9082万人民币,辽宁省,大连市,电力、热力生产和供应业,国有企业,node_primary+registry_code
685,corp:91210300941293490R,0.007596373516601568,0.005496817936706847,鞍钢矿山机械制造有限公司,91210300941293490R,node,91210300941293490R,鞍钢矿山机械制造有限公司,2881万人民币,辽宁省,鞍山市,专用设备制造业,国有企业,node_primary+registry_code
2064,corp:91230607716675409L,0.007573155386270557,0.005582233812442484,大庆油田有限责任公司,91230607716675409L,node,91230607716675409L,大庆油田有限责任公司,4750000万人民币,黑龙江省,大庆市,石油和天然气开采业,民营企业,node_primary+registry_code
80,corp:91210100746494975X,0.0075708981526379435,0.005124327260574477,华晨宝马汽车有限公司,91210100746494975X,node,91210100746494975X,华晨宝马汽车有限公司,15000万欧元,辽宁省,沈阳市,汽车制造业,外资及港澳台企业,node_primary+registry_code
707,corp:91210311119110784E,0.007568160306313247,0.005262135126572383,鞍山市供热有限责任公司,91210311119110784E,node,91210311119110784E,鞍山市供热有限责任公司,70094万人民币,辽宁省,鞍山市,电力、热力生产和供应业,其他企业,node_primary+registry_code
1313,corp:91220000605155339R,0.007562582663001994,0.005191620112020087,吉林奇峰化纤股份有限公司,91220000605155339R,node,91220000605155339R,吉林奇峰化纤股份有限公司,88393万人民币,吉林省,吉林市,纺织业,其他企业,node_primary+registry_code
1756,corp:912301048272839935,0.00756062753874593,0.005170501383566722,哈尔滨红光锅炉总厂有限责任公司,912301048272839935,node,912301048272839935,哈尔滨红光锅炉总厂有限责任公司,16698万人民币,黑龙江省,哈尔滨市,专用设备制造业,民营企业,node_primary+registry_code
30594,name:辽宁大唐国际锦州热电有限责任公司,0.00755898516546252,0.00523940035952505,辽宁大唐国际锦州热电有限责任公司,,fringe,,辽宁大唐国际锦州热电有限责任公司,36800万人民币,辽宁省,锦州市,电力、热力生产和供应业,有限责任公司(自然人投资或控股的法人独资),registry_name
1024,corp:912109057618209005,0.007554325205749918,0.005194627585774488,阜新金山煤矸石热电有限公司,912109057618209005,node,912109057618209005,阜新金山煤矸石热电有限公司,53658万人民币,辽宁省,阜新市,电力、热力生产和供应业,其他企业,node_primary+registry_code
1229,corp:91211303664560991G,0.007549472093188189,0.005658474840187277,鞍钢集团朝阳钢铁有限公司,91211303664560991G,node,91211303664560991G,鞍钢集团朝阳钢铁有限公司,800000万人民币,辽宁省,朝阳市,黑色金属冶炼和压延加工业,民营企业,node_primary+registry_code
414,corp:91210200782478913K,0.007546189326333679,0.005402996461456691,辽宁红沿河核电有限公司,91210200782478913K,node,91210200782478913K,辽宁红沿河核电有限公司,1596000万人民币,辽宁省,大连市,电力、热力生产和供应业,其他企业,node_primary+registry_code
1200,corp:91211281MA0U0U9974,0.007539637230367236,0.005124327260574477,国投生物能源（铁岭）有限公司,91211281MA0U0U9974,node,91211281MA0U0U9974,国投生物能源(铁岭)有限公司,40000万人民币,辽宁省,铁岭市,酒、饮料和精制茶制造业,民营企业,node_primary+registry_code
147,corp:91210106550756363Q,0.007537943053299754,0.005147273886925394,沈阳鼓风机集团核电泵业有限公司,91210106550756363Q,node,91210106550756363Q,沈阳鼓风机集团核电泵业有限公司,133771.1799万人民币,辽宁省,沈阳市,专用设备制造业,民营企业,node_primary+registry_code
382,corp:91210200604921118R,0.0075363958185526774,0.0051707635585164675,大连深蓝泵业有限公司,91210200604921118R,node,91210200604921118R,大连深蓝泵业有限公司,10000万人民币,辽宁省,大连市,通用设备制造业,其他企业,node_primary+registry_code
1795,corp:912301115526349333,0.007534570790791426,0.0051698759825605616,中国航发哈尔滨轴承有限公司,912301115526349333,node,912301115526349333,中国航发哈尔滨轴承有限公司,71569.043361万人民币,黑龙江省,哈尔滨市,通用设备制造业,其他企业,node_primary+registry_code
1974,corp:91230600MA1AT1T11P,0.007531564618037746,0.005170384098811265,中国石油集团电能有限公司,91230600MA1AT1T11P,node,91230600MA1AT1T11P,中国石油集团电能有限公司,500000万人民币,黑龙江省,大庆市,电力、热力生产和供应业,民营企业,node_primary+registry_code
1342,corp:91220101123911541Q,0.0075280205354267635,0.005170666281660555,中国第一汽车集团进出口有限公司,91220101123911541Q,node,91220101123911541Q,中国第一汽车集团进出口有限公司,162185万人民币,吉林省,长春市,零售业,民营企业,node_primary+registry_code
24287,name:沈阳轨道车辆有限公司,0.007527424949515152,0.005147425972490972,沈阳轨道车辆有限公司,,fringe,,沈阳轨道车辆有限公司,37000万人民币,辽宁省,沈阳市,铁路、船舶、航空航天和其他运输设备制造业,有限责任公司（非自然人投资或控股的法人独资）,registry_name
54,corp:91210100243578405Y,0.007527370782558577,0.005330005158330366,沈阳铁道工业集团有限公司,91210100243578405Y,node,91210100243578405Y,沈阳铁道工业集团有限公司,39000万人民币,辽宁省,沈阳市,铁路、船舶、航空航天和其他运输设备制造业,民营企业,node_primary+registry_code
46,corp:91210100242587748P,0.007526382054108429,0.005147417899476715,沈阳三洋电梯有限公司,91210100242587748P,node,91210100242587748P,沈阳三洋电梯有限公司,50500万人民币,辽宁省,沈阳市,仪器仪表制造业,民营企业,node_primary+registry_code
14450,name:大庆钻探工程公司,0.007526120691075776,0.0053295482579223214,大庆钻探工程公司,,fringe,,大庆钻探工程公司,500000万人民币,黑龙江省,大庆市,石油和天然气开采业,全民所有制分支机构(非法人),registry_name
225,corp:91210112604630556E,0.007526120232863369,0.005214798614384744,沈阳国擎动力科技有限公司,91210112604630556E,node,91210112604630556E,沈阳国擎动力科技有限公司,73825万人民币,辽宁省,沈阳市,汽车制造业,其他企业,node_primary+registry_code
